CBSA,MDIV,STCOU,NAME,LSAD,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019,POPESTIMATE2020,POPESTIMATE2021
11020,,42013,"Blair County, PA",County or equivalent,127089,127117,127045,126970,126544,125836,125274,124596,123708,123147,122503,121829,,
11100,,,"Amarillo, TX",Metropolitan Statistical Area,251933,251935,252664,255975,257802,258896,260812,261618,262987,264331,264406,265053,,
11100,,48011,"Armstrong County, TX",County or equivalent,1901,1901,1902,1936,1953,1940,1913,1901,1843,1867,1879,1887,,
11100,,48065,"Carson County, TX",County or equivalent,6182,6184,6162,6238,6089,5988,6036,6013,6096,6005,6007,5926,,
11100,,48359,"Oldham County, TX",County or equivalent,2052,2052,2050,2072,2046,2088,2069,2064,2074,2104,2118,2112,,
11100,,48375,"Potter County, TX",County or equivalent,121073,121078,121371,122305,122739,122127,122061,121272,120632,120340,118711,117415,,
11100,,48381,"Randall County, TX",County or equivalent,120725,120720,121179,123424,124975,126753,128733,130368,132342,134015,135691,137713,,
11180,,,"Ames, IA",Metropolitan Statistical Area,115848,115850,115925,117424,118139,120161,122092,123079,123309,123721,123093,123351,,
11180,,19015,"Boone County, IA",County or equivalent,26306,26308,26271,26288,26136,26284,26290,26443,26416,26443,26312,26234,,
11180,,19169,"Story County, IA",County or equivalent,89542,89542,89654,91136,92003,93877,95802,96636,96893,97278,96781,97117,,
11260,,,"Anchorage, AK",Metropolitan Statistical Area,380821,380821,383053,387922,391932,397022,397996,398609,401368,400570,397636,396317,,
11260,,2020,"Anchorage Municipality, AK",County or equivalent,291826,291836,293321,296197,298255,301142,299893,297547,297249,294338,290521,288000,,
11260,,2170,"Matanuska-Susitna Borough, AK",County or equivalent,88995,88985,89732,91725,93677,95880,98103,101062,104119,106232,107115,108317,,
11460,,,"Ann Arbor, MI",Metropolitan Statistical Area,344791,345163,345717,349753,352303,356040,360021,362975,366135,368807,369483,367601,,
11460,,26161,"Washtenaw County, MI",County or equivalent,344791,345163,345717,349753,352303,356040,360021,362975,366135,368807,369483,367601,,
11500,,,"Anniston-Oxford, AL",Metropolitan Statistical Area,118572,118526,118408,117744,117190,116471,115917,115469,114973,114710,114331,113605,,
11500,,1015,"Calhoun County, AL",County or equivalent,118572,118526,118408,117744,117190,116471,115917,115469,114973,114710,114331,113605,,
11540,,,"Appleton, WI",Metropolitan Statistical Area,225666,225667,225948,227548,228656,229978,231627,233146,234200,235811,237011,237974,,
11540,,55015,"Calumet County, WI",County or equivalent,48971,48981,49040,49622,49653,49648,49479,49818,49607,49995,50132,50089,,
11540,,55087,"Outagamie County, WI",County or equivalent,176695,176686,176908,177926,179003,180330,182148,183328,184593,185816,186879,187885,,
11700,,,"Asheville, NC",Metropolitan Statistical Area,424858,424863,425338,428113,430945,435795,439661,444593,450310,454855,459314,462680,,
11700,,37021,"Buncombe County, NC",County or equivalent,238318,238330,238738,241172,243655,246807,249084,251954,254955,257071,259259,261191,,
11700,,37087,"Haywood County, NC",County or equivalent,59036,59032,58932,58726,58640,58962,59132,59646,60405,61005,61890,62317,,
11700,,37089,"Henderson County, NC",County or equivalent,106740,106719,106891,107370,107768,108879,110258,111847,113583,115216,116500,117417,,
11700,,37115,"Madison County, NC",County or equivalent,20764,20782,20777,20845,20882,21147,21187,21146,21367,21563,21665,21755,,
12020,,,"Athens-Clarke County, GA",Metropolitan Statistical Area,192541,192567,193439,194375,195984,197590,198361,202565,205402,209106,211468,213750,,
12020,,13059,"Clarke County, GA",County or equivalent,116714,116688,117403,118229,119891,120888,120386,123561,124905,126815,127268,128331,,
12020,,13195,"Madison County, GA",County or equivalent,28120,28167,28212,28174,28070,28202,28362,28419,28856,29295,29642,29880,,
12020,,13219,"Oconee County, GA",County or equivalent,32808,32831,32925,33264,33514,34077,35072,35853,36929,38122,39478,40280,,
12020,,13221,"Oglethorpe County, GA",County or equivalent,14899,14881,14899,14708,14509,14423,14541,14732,14712,14874,15080,15259,,
12060,,,"Atlanta-Sandy Springs-Alpharetta, GA",Metropolitan Statistical Area,5286728,5286718,5302598,5366462,5444473,5510530,5593204,5686048,5787965,5872432,5945303,6020364,,
12060,,13013,"Barrow County, GA",County or equivalent,69367,69356,69676,69844,70135,71239,72849,74979,77000,78899,80834,83240,,
12060,,13015,"Bartow County, GA",County or equivalent,100157,100092,100050,100116,100240,100917,101233,102043,103338,105098,106378,107738,,
12060,,13035,"Butts County, GA",County or equivalent,23655,23695,23786,23609,23438,23218,23341,23520,23736,24067,24192,24936,,
12060,,13045,"Carroll County, GA",County or equivalent,110527,110570,110655,110728,111412,112265,113933,114461,116077,117390,117997,119992,,
12060,,13057,"Cherokee County, GA",County or equivalent,214346,214381,215197,217732,220643,224314,230167,235329,241795,247763,253914,258773,,
12060,,13063,"Clayton County, GA",County or equivalent,259424,259630,259877,262031,265294,264015,266629,272720,279333,284184,289197,292256,,
12060,,13067,"Cobb County, GA",County or equivalent,688078,688065,689495,696507,706322,716017,727543,739052,748178,752649,756070,760141,,
12060,,13077,"Coweta County, GA",County or equivalent,127317,127369,127937,129374,130593,132944,135140,138145,140497,143153,145998,148509,,
12060,,13085,"Dawson County, GA",County or equivalent,22330,22382,22328,22340,22513,22732,23022,23369,23668,24406,25127,26108,,
12060,,13089,"DeKalb County, GA",County or equivalent,691893,691961,692443,698329,710557,717740,724892,734434,746802,751176,754906,759297,,
12060,,13097,"Douglas County, GA",County or equivalent,132403,132282,132573,133106,133555,136024,138007,140173,141664,143376,145024,146343,,
12060,,13113,"Fayette County, GA",County or equivalent,106567,106560,106938,107156,107315,108054,109199,110141,111218,112553,113181,114421,,
12060,,13117,"Forsyth County, GA",County or equivalent,175511,175484,176723,181794,186793,193801,202598,211250,220481,228940,236993,244252,,
12060,,13121,"Fulton County, GA",County or equivalent,920581,920445,925632,947469,973221,981472,991847,1005127,1022866,1038938,1050131,1063937,,
12060,,13135,"Gwinnett County, GA",County or equivalent,805321,805286,808007,822415,836844,853459,870986,888494,904962,918186,927337,936250,,
12060,,13143,"Haralson County, GA",County or equivalent,28780,28775,28758,28465,28310,28335,28487,28702,28830,29248,29561,29792,,
12060,,13149,"Heard County, GA",County or equivalent,11834,11829,11841,11731,11652,11564,11623,11556,11579,11751,11871,11923,,
