area,area_name,occ_code,occ_title,tot_emp,emp_prse,h_mean,a_mean,mean_prse,h_pct10,h_pct25,h_median,h_pct75,h_pct90,a_pct10,a_pct25,a_median,a_pct75,a_pct90,year,occ
Chicago,"Chicago-Naperville-Joliet, IL-IN-WI",00-0000,All Occupations,4493330,0.3,22.65,47120,0.9,8.12,10.77,17.11,28.93,43.05,16890,22390,35590,60170,89540,2008,all_jobs
Chicago,"Chicago-Naperville-Joliet, IL-IN-WI",27-2031,Dancers,470,35.6,12.89,,11.5,7.82,8.10,10.41,16.39,21.84,,,,,,2008,dancer
Chicago,"Chicago-Naperville-Joliet, IL-IN-WI",27-2032,Choreographers,,,19.47,40490,9.4,9.31,13.99,18.32,24.27,33.16,19370,29090,38100,50480,68970,2008,choreo
Chicago,"Chicago-Naperville-Joliet, IL-IN-WI",39-9031,Fitness trainers and aerobics instructors,9890,8.2,16.88,35110,4.8,7.80,9.01,12.14,23.60,31.98,16230,18730,25260,49090,66510,2008,fit_trainer
Chicago,"Chicago-Naperville-Joliet, IL-IN-WI",39-9032,Recreation workers,10210,9.3,11.57,24070,2.0,7.76,8.12,9.84,12.96,17.40,16150,16900,20460,26960,36200,2008,rec_worker
NY,"New York-Northern New Jersey-Long Island, NY-NJ-PA",00-0000,All Occupations,8455130,0.3,25.39,52820,0.4,8.83,12.18,19.37,31.54,48.73,18360,25340,40280,65590,101360,2008,all_jobs
NY,"New York-Northern New Jersey-Long Island, NY-NJ-PA",27-2031,Dancers,1340,25.8,20.01,,8.0,7.79,10.99,15.79,26.98,37.60,,,,,,2008,dancer
NY,"New York-Northern New Jersey-Long Island, NY-NJ-PA",27-2032,Choreographers,470,49.7,34.13,70990,7.1,21.02,24.25,29.94,36.65,48.59,43720,50430,62280,76230,101070,2008,choreo
NY,"New York-Northern New Jersey-Long Island, NY-NJ-PA",39-9031,Fitness trainers and aerobics instructors,19010,5.1,23.71,49310,3.1,8.68,12.46,22.36,31.58,42.63,18050,25910,46500,65680,88670,2008,fit_trainer
NY,"New York-Northern New Jersey-Long Island, NY-NJ-PA",39-9032,Recreation workers,20390,5.8,12.68,26370,1.2,7.92,9.47,11.57,14.93,18.96,16480,19690,24060,31060,39440,2008,rec_worker
